name,parameters,examples,description,notes,version,scope
num_of_naval_factories,!%int,num_of_naval_factories > 10,checks if the current scope has the specified amount of dockyards.,must use either > or < operators.,1,country
num_of_available_military_factories,!%int,num_of_available_military_factories > 10,checks if the current scope has the specified amount of available military factories.,must use either > or < operators.,1,country
num_of_available_civilian_factories,!%int,num_of_available_civilian_factories > 10,checks if the current scope has the specified amount of available civilian factories.,must use either > or < operators.,1,country
num_of_available_naval_factories,!%int,num_of_available_naval_factories > 10,checks if the current scope has the specified amount of available dockyards.,must use either > or < operators.,1,country
num_of_factories,!%int,num_of_factories > 10,"checks if the current scope has the specified amount of military, civilian or dockyard factories. ",must use either > or < operators.,1,country
num_of_civilian_factories_available_for_projects,!%int,num_of_civilian_factories_available_for_projects > 10,checks if the current scope has the specified amount of civilian factories usable for projects.,must use either > or < operators.,1.5,country
ic_ratio,!scope.tag !%float.ratio,ic_ratio = {     tag = ger     ratio > 0.5 } ,checks if the current scope has the specified ratio of factories with the target country.,must use either > or < operators for ratio.,1,country
has_damaged_buildings,!%bool,has_damaged_buildings = yes,checks if the current scope has any damanged buildings in their states.,,1,country
has_built,!building.building_type !%int.value,has_built = {     type = arms_factory     value > 10 } ,checks if the current scope has built the specified building the specified number of times.,must use either > or < operators for value.,1,country
has_tech,!string,has_tech = my_technology,checks if the current scope has the specified technology.,,1,country
is_researching_technology,!string,is_researching_technology = my_tech,checks if the current scope is currently researching the specified technology.,,1,country
can_research,!string,can_research = my_tech,checks if the current scope can start researching the specified technology.,,1,country
original_research_slots,!%int,original_research_slots > 3,checks if the current scope had the specified amount of slots at game start.,must use either > or < operators.,1,country
amount_research_slots,!%int,amount_research_slots > 3,checks if the current scope has the specified amount of research slots.,must use either > or < operators.,1.3,country
is_in_tech_sharing_group,!string,is_in_tech_sharing_group = us_research,checks if the current scope is in the specified technology sharing group.,,1.3,country
num_tech_sharing_groups,!%int,num_tech_sharing_groups > 3,checks if the current scope is in the specified amount of technology sharing groups.,must use either > or < operators.,1.3,country
has_tech_bonus,£string.technology £string.category,has_tech_bonus = {     technology = my_tech  has_tech_bonus = {     category = my_category } ,"checks if the current scope has a technology bonus in the specified category, or for the specific technology. ",,1.3,country
land_doctrine_level,!%int,land_doctrine_level > 2,checks if the current scope has the specified amount of land doctrine technologies.,must use either > or < operators.,1,country
has_idea,!string,has_idea = my_idea,checks if the current scope has the specified idea.,,,country
has_idea_with_trait,!string,has_idea_with_trait = my_trait,checks if the current scope has any ideas with the specified trait.,,1,country
has_available_idea_with_traits,!string.idea !int.limit,has_available_idea_with_traits = {     idea = my_trait     limit = 1 } ,checks if the current scope has the specified amount of ideas with the specified trait.,,1,country
amount_taken_ideas,!int.amount !string.slots,amount_taken_ideas = {     amount > 3     slots = {         political_advisor     } } ,checks if the current scope has the specified amount of ideas of the specified slot type.,slots types are found in /hearts of iron iv/common/idea_tags/*.txt.,1,country
is_major,!boolean.,is_major = yes,checks if the current scope is considered a major.,,1,country
is_in_faction_with,!scope/variable,is_in_faction_with = ger is_in_faction_with = var:country,checks if the current scope is in a faction with the specified country.,,1,country
is_in_faction,!boolean,is_in_faction = yes,checks if the current scope is in a faction.,,1,country
is_faction_leader,!boolean,is_faction_leader = yes,checks if the current scope is the leader of a faction.,,1,country
num_faction_members,!%int,num_faction_members > 1,checks if the faction of the current scope has the specified amount of members.,must use either > or < operators.,1,country
has_non_aggression_pact_with,!scope/variable,has_non_aggression_pact_with = ger,checks if the current scope has a non-aggression pact with the specified country.,,1,country
is_guaranteed_by,!scope/variable,is_guaranteed_by = ger,checks if the current scope has been guaranteed by the specified country.,,1,country
has_guaranteed,!scope/variable,has_guaranteed = ger,checks if the current scope has guaranteed the specified country.,,1,country
has_military_access_to,!scope/variable,has_military_access_to = ger,checks if the current scope has military access to the specified country.,,1,country
gives_military_access_to,!scope/variable,gives_military_access_to = ger,checks if the current scope gives military to the specified country.,,1,country
is_neighbor_of,!scope/variable,is_neighbor_of = ger,checks if the current scope is a neighbor of the specified country.,,1,country
is_owner_neighbor_of,!scope/variable,is_owner_neighbor_of = ger,checks if the current scope is a neighbor of the specified country with their core territory only.,,1,country
is_puppet_of,!scope/variable,is_puppet_of = ger,checks if the current scope is a puppet of the specified country.,,1,country
is_subject_of,!scope/variable,is_subject_of = ger,checks if the current scope is a subject of the specified scope.,,1,country
is_puppet,!boolean,is_puppet = yes,"returns true if the current country has an autonomy level with is_puppet = yes, false otherwise. ",,1,country
is_subject,!boolean,is_subject = yes,checks if the current scope is a subject.,,1,country
num_subjects,!%int,num_subjects > 3,checks if the current scope has the specified amount of subjects.,must use either > or < operators.,1.3,country
has_autonomy_state,!%string,has_autonomy_state = autonomy_dominion,checks if the current scope is in the specified autonomous state.,,1,country
compare_autonomy_state,!%string,compare_autonomy_state > autonomy_dominion,checks if the current scope autonomy state is less or greater than the specified autonomy state.,must use either > or < operators.,1,country
compare_autonomy_progress_ratio,!%float,compare_autonomy_progress_ratio > 0.5,checks if the current scope autonomy progress is at the specified ratio.,must use either > or < operators.,1.3,country
has_opinion_modifier,!string,has_opinion_modifier = my_modifier,checks if the current scope has the specified opinion modifier.,,1,country
has_opinion,!scope.target !%float.value,has_opinion = {     target = ger     value = 100 } ,checks if the current scope has the specified opinion with the specified country.,must use either > or < operators.,1,country
has_relation_modifier,!scope.target !modifier.modifier,has_relation_modifier = {     target = ger     modifier = my_modifier } ,checks if the current scope has the specified relation modifier with the specified country.,,1,country
all_allied_country,#trigger,all_allied_country = {     has_stability > 0.8 },returns true if this is in a faction where all other countries fulfill the sub-triggers; false otherwise. evaluation stops early if any ally fails the check.,within the trigger prev is the country doing the check and this is the ally.,,country
any_allied_country,#trigger,any_allied_country = {     has_stability > 0.8 },returns true if this is in a faction where at least one other country fulfills the sub-triggers; false otherwise. evaluation stops early if any ally passes the check.,within the trigger prev is the country doing the check and this is the ally.,,country
any_neighbor_country,#trigger,any_neighbor_country = {     has_stability > 0.8 },returns true if at least one other country that controls a province adjacent to a province controlled by this fulfills the sub-triggers; false otherwise. evaluation stops early if any neighbor passes the check.,within the trigger prev is the country doing the check and this is the neighbor.,,country
all_neighbor_country,#trigger,all_neighbor_country = {     has_stability > 0.8 },returns false if any other country that controls a province adjacent to a province controlled by this fails the sub-triggers; true otherwise. evaluation stops early if any neighbor fails the check.,within the trigger prev is the country doing the check and this is the neighbor. the list of neighbor countries is pre-calculated.,,country
any_home_area_neighbor_country,#trigger,any_home_area_neighbor_country = {     has_stability > 0.8 },returns true if this has a home area and at least one country controlling an adjacent area to it fulfills the sub-triggers; false otherwise. the home area is the largest contiguous area controlled by this that contains at least one province of its capital state. evaluation stops early if any neighbor passes the check.,within the trigger prev is the country doing the check and this is the neighbor.,,country
has_war,!boolean,has_war = yes,checks if the current scope is at war.,,1,country
has_war_with,!scope/variable,has_war_with = ger has_war_with = var:country,checks if the current scope is at war with the specified country.,,1,country
has_offensive_war_with,!scope/variable,has_offensive_war_with = ger,checks if the current scope is in an offensive war against the specified country.,,1,country
has_defensive_war_with,!scope/variable,,checks if the current scope is in an defensive war against the specified country.,,1,country
has_offensive_war,!boolean,has_offensive_war = yes,checks if the current scope is in an offensive war.,,1,country
has_defensive_war,!boolean,has_defensive_war = yes,checks if the current scope is in a defensive war.,,1,country
has_war_together_with,!scope/variable,has_war_together_with = ger,checks if the current scope is in a war alongside the specified country.,,1,country
surrender_progress,!%float/variable,surrender_progress > 0.1,checks if the current scope has the specified amount of surrender progress.,must use either > or < operators.,1,country
any_war_score,!%float,any_war_score > 10,checks if the current scope has the specified amount of war progress (not war participation)[1] in any war.,must use either > or < operators.,1,country
has_capitulated,!boolean,has_capitulated = yes,checks if the current scope has capitulated.,,1,country
has_border_war_with,!scope/variable,has_border_war_with = ger,checks if the current scope has a border war with the specified country.,,1.5,country
has_border_war_between,!scope.attacker !scope.defender,has_border_war_between = {     attacker = 1     defender = 2 } ,checks if their is a border war between the two specified states.,,1.5,country
has_border_war,!boolean,has_border_war = yes,checks if the current scope has a border war active.,,1.5,country
has_added_tension_amount,!%float/variable,has_added_tension_amount = 10,checks if the current scope has caused the specified amount of world tension.,must use either > or < operators.,1,country
has_wargoal_against,!scope/variable,has_wargoal_against = ger,checks if the current scope has any wargoal against the specified country.,,1,country
has_wargoal_against,!scope/variable.target !string.type,has_wargoal_against = {     target = from     type = take_state } ,checks if the current scope has a specific wargoal type against the specified country.,,1.8,country
is_justifying_wargoal_against,!scope/variable,is_justifying_wargoal_against = ger,checks if the current scope is justifying a wargoal against the specified country.,,1,country
has_annex_war_goal,!scope/variable,has_annex_war_goal = ger,checks if the current scope has the annex wargoal against the specified country.,,1,country
any_claim,!boolean,any_claim = yes,checks if the current scope has any claims on another country.,,1,country
is_in_peace_conference,!boolean,is_in_peace_conference = yes,checks if the current scope is in a peace conference.,,1,country
any_enemy_country,#trigger,any_enemy_country = {     has_stability > 0.8 },"returns true if any country is at war with this, exists, and fulfills the sub-triggers; false otherwise. evaluation stops at the first true sub-trigger. ",within the trigger prev is the country doing the check and this is the enemy.,,country
all_enemy_country,#trigger,all_enemy_country = {     has_stability > 0.8 },"returns false if any country is at war with this, exists, and fails the sub-triggers; true otherwise. evaluation stops at the first false sub-trigger. ",within the trigger prev is the country doing the check and this is the enemy.,,country
controls_state,!state/variable,controls_state = 39 controls_state = var:state,checks if the current scope has control of the specified state.,,1,country
owns_state,!state/variable,owns_state = 39,checks if the current scope owns the specified state.,,1,country
num_of_controlled_states,!%int,num_of_controlled_states = 5,checks if the current scope has the specified amount of controlled states.,must use either > or < operators.,1,country
num_occupied_states,!%int,num_occupied_states = 5,checks if the current scope has the specified amount of occupied states.,must use either > or < operators.,1,country
has_full_control_of_state,!scope/variable,has_full_control_of_state = 39,checks if the current scope has control and ownership of the specified state.,,1.3,country
has_resources_amount,!%string.resource !int.amount £state.state,has_resources_amount = {     resource = oil     amount > 10     state = 49 } ,checks if the specified state has the specified amount of the specified resource.,must use either > or < operators for amount.,1.3,country
any_owned_state,#trigger,any_owned_state = {     is_coastal = yes },returns true if at least one state controlled by this passes the sub-triggers; false otherwise. evaluation stops early when a state passes the check.,the sub-triggers are evaluated with a state scope for each owned state.,,country
all_owned_state,#trigger,all_owned_state = {     is_controlled_by = root },returns false if any state controlled by this fails the sub-triggers; true otherwise. evaluation stops early when a state fails the check.,the sub-triggers are evaluated with a state scope for each owned state.,,country
has_army_experience,!%float/variable,has_army_experience = 10 has_army_experience = var:number,checks if the current scope has the specified amount of army experience.,must use either > or < operators as = operator checks for the exact value,1.3,country
has_air_experience,!%float/variable,has_air_experience = 10,checks if the current scope has the specified amount of air experience.,must use either > or < operators as = operator checks for the exact value,1.3,country
has_navy_experience,!%float/variable,has_navy_experience = 10,checks if the current scope has the specified amount of navy experience.,must use either > or < operators as = operator checks for the exact value,1.3,country
has_unit_leader,!int,has_unit_leader = 1,checks if the current scope has a unit leader with the specified id.,,1,country
has_manpower,!%float/variable,has_manpower = 1000,checks if the current scope has the specified amount of manpower.,must use either > or < operators as = operator checks for the exact value,1,country
has_army_manpower,!%int,has_army_manpower = {     size > 1000 ,checks if the current scope has an army using the specified amount of manpower.,must use either > or < operators.,1,country
manpower_per_military_factory,!%float,manpower_per_military_factory > 1000,checks if the current scope has the specified manpower times their number of military factories.,must use either > or < operators.,1,country
num_divisions,!%int,num_divisions > 5,checks if the current scope has the specified amount of divisions.,must use either > or < operators.,1.3,country
num_of_nukes,!%int,num_of_nukes > 5,checks if the current scope has the specified amount of nukes.,must use either > or < operators.,1,country
casualties,!%int,casualties > 10000,checks if the current scope has suffered the specified amount of casualties.,must use either > or < operators.,1,country
amount_manpower_in_deployment_queue,!%float,amount_manpower_in_deployment_queue > 1000,checks if the current scope has the specified amount of manpower in their deployment queue.,must use either > or < operators.,1.5,country
has_attache_from,!scope/variable,has_attache_from = ger,checks if the current scope has an attache from the specified scope.,,1.5,country
has_attache,!bool,has_attache = yes,checks if the current scope has an attache.,,1.5,country
is_lend_leasing,!scope/variable,is_lend_leasing = ger,checks if the current scope is lend leasing to the specified scope.,,1,country
has_template,!string,"has_template = ""infantry division"" ",checks if the current scope has a division template of the specified name.,,1,country
has_template_majority_unit,!string,has_template_majority_unit = infantry,checks if the current scope has a division template composed mostly of the specified unit.,,1,country
has_template_containing_unit,!string,has_template_containing_unit = light_armor,checks if the current scope has a division template contained any of the specified unit.,,1,country
strength_ratio,!scope.tag !%float.ratio,strength_ratio = {     tag = ger     ratio > 1 } ,checks if the current scope has the specified strength ratio against the specified country. the ratio is the number of fielded divisions of the current scope divided by those of tag (or 1 if tag has no divisions). the ratio gets increased by 10% if the current scope has a stronger air forces.[2],any comparison operator after ratio other than > gets interpreted as <.,1,country
naval_strength_ratio,!scope.tag !%float.ratio,naval_strength_ratio = {     tag = ger     ratio = 1 } ,checks if the current scope has the specified naval strength ratio against the specified country.,,1,country
alliance_strength_ratio,!%float/variable,alliance_strength_ratio > 0.5,checks if the current scope and allies has an army strength higher than the specified ratio against estimated enemy strength.,must use either > or < operators.,1,country
alliance_naval_strength_ratio,!%float/variable,alliance_naval_strength_ratio > 0.5,checks if the current scope and allies has an naval strength ratio higher than the specified ratio against estimated enemy strength.,must use either > or < operators.,1,country
enemies_strength_ratio,!%float/variable,enemies_strength_ratio > 0.5,checks if the estimated enemy army strength ratio is higher than the specified ratio.,must use either > or < operators.,1,country
enemies_naval_strength_ratio,!%float/variable,enemies_naval_strength_ratio > 0.5,checks if the estimated enemy naval strength ratio is higher than the specified ratio.,must use either > or < operators.,1,country
has_army_size,!%float.size £string.type,has_army_size = {     size > 10     type = armor } ,"checks if the current scope has the specified number of divisions, or of a specified type of division. ",types: infantry support artillery anti_tank armor must use either > or < operators for size. ,1,country
has_navy_size,!%float.size £string.type,has_navy_size = {     size > 10     type = capital_ship } ,"checks if the current scope has the specified number of ships, or of a specified type of ship. ",types: submarine screen_ship capital_ship carrier must use either > or < operators for size. ,1,country
has_deployed_air_force_size,!float.size £string.type,has_deployed_air_force_size = {     size > 10     type = cas } ,"checks if the current scope has the specified number of aircraft, or of a specified type of aircraft. ",types: fighter cas naval_bomber interceptor suicide tactical_bomber strategic_bomber air_transport missile must use either > or < operators for size. ,1,country
divisions_in_state,!%float.size £string.type !state/variable.tag,divisions_in_state = {     type = infantry     size > 10     state = 49 } ,checks if the specified state contains the specified amount of divisions.,types: infantry support artillery anti_tank armor must use either > or < operators for size. ,1,country
divisions_in_border_state,!%float.size £string.type !state.state/variable !state.variable.border_state,divisions_in_border_state = {     type = infantry     size > 10     state = 49     border_state = var:state } ,checks if the border provinces between the specified state and border state contain the specified amount of divisions.,types: infantry support artillery anti_tank armor must use either > or < operators for size. ,1.5,country
ships_in_state_ports,size =!%float.size £string.type £string.type !state/variable.state,ships_in_state_ports = {     type = capital_ship     size > 10     state = 49 } ,"checks if the specified state contains the specified amount of ships, or of ships of the specified type. ",types: submarine screen_ship capital_ship carrier must use either > or < operators for size. ,1,country
has_volunteers_amount_from,!scope.tag !%int.count,has_volunteers_amount_from = {     tag = ger     count > 10 } ,checks if the current scope has recieved volunteers from the specified country of the specified amounts.,must use either > or < operators for count.,1,country
estimated_intel_max_piercing,!scope.tag !%float.value,estimated_intel_max_piercing = {     tag = ger     value > 0.5 } ,checks if the specified scope has the specified amount of piercing based on the current scope's intel.,must use either > or < operators for value.,1,country
estimated_intel_max_armor,!scope.tag !%float.value,estimated_intel_max_armor = {     tag = ger     value > 0.5 } ,checks if the specified scope has the specified amount of armor based on the current scope's intel.,must use either > or < operators for value.,1,country
stockpile_ratio,!string.archetype !%float.ratio,stockpile_ratio = {     archetype = infantry_equipment     ratio > 0.5 } ,checks if the current scope has stockpiled the specified equipment to the specified ratio against fielded equipment of the same type.,"must use either > or < operators for ratio.  for the convoy equipment which is not fielded as other equipments, ratio shall be not a percentage but a direct amount (for instance 256 convoys) ",1.5,country
has_equipment,!equipment < !int/variable.count , and the amount to check for. ,has_equipment = {     infantry_equipment_1 > 10 } ,checks if the current scope has the specified equipment to the specified amount.,must use either > or < operators.,1,country
has_any_license,!boolean,has_any_license = yes,checks if the current scope has any licenses from other countries.,,1,country
is_licensing_any_to,!scope,is_licensing_any_to = ger,checks if the current scope is licensing to the specified scope.,,1,country
is_licensing_to,!scope.target !string.archetype £string.type £int.variant,is_licensing_to = {     target = ger     archetype = infantry_equipment }  is_licensing_to = {     target = ger     equipment = {         type = light_tank_equipment         version = 1     } } ,checks if the current scope is licensing the specified equipment to the specified country.,,1,country
has_license,!scope.from !string.archetype £string.type £int.version,has_license = {     from = ger     archetype = infantry_equipment }  has_license = {     from = ger     equipment = {         type = light_tank_equipment         version = 1     } } ,checks if the current scope has a license for the specified equipment from the specified country.,,1,country
ai_irrationality,!%int,ai_irrationality > 10,checks if the current scope ai has the specified irrationality.,must use either > or < operators.,1,country
ai_liberate_desire,!scope.target !%float.count,ai_liberate_desire = {     target = ger     count > 1 } ,checks if the current scope ai has the specified liberation desire towards the specified country.,must use either > or < operators for count.,1,country
ai_has_role_division,!string,ai_has_role_division = infantry,checks if the current scope ai has a division with the specified role.,roles are defined in /hearts of iron iv/common/ai_templates/*.txt,1,country
ai_has_role_template,!string,ai_has_role_template = armor,checks if the current scope ai has a division template with the specified role.,roles are defined in /hearts of iron iv/common/ai_templates/*.txt,1,country
ai_wants_divisions,!%int,ai_wants_divisions > 10,checks if the current scope ai desires the specified amount of divisions.,must use either > or < operators.,1,country
has_template_ai_majority_unit,!string,has_template_ai_majority_unit = infantry,checks if the current scope ai has a division template mostly made up of the specified unit.,,1,country
state,!scope/variable,state = 10 state = var:state,checks if the current scope is the specified state.,,1,state
region,!int,region = 10,checks if the current scope is a state in the specified strategic region.,,1,state
area,!int,area = 6,checks if the current scope is a state in the specified supply area.,,1,state
has_state_flag,!string,has_state_flag = my_flag,checks if the current scope has the specified flag.,,1,state
has_state_flag,!string £%int.value £%date.date £%int.days,has_state_flag = {     flag = my_flag     days > 30     date > 1936.6.1     value > 0 } ,"compares the specified flag's last set date, days since last set, and/or value. ","if not set, the value comparison is >0. value is limited between -32768 and 32767. ",1,state
<building>,!%int,arms_factory > 10,checks if the current scope has the specified amount of the specified building.,must use either > or < operators.,1,state
state_population,!%float,state_population > 10000,checks if the current scope has the specified state population.,must use either > or < operators.,1,state
is_capital,!boolean,is_capital = yes,checks if the current scope is a capital.,,1.5,state
is_controlled_by,!scope/variable,is_controlled_by = ger,checks if the current scope is controlled by the specified country.,,1,state
is_fully_controlled_by,!scope/variable,is_fully_controlled_by = ger,checks if the current scope is fully controlled by the specified country.,,1.5,state
is_owned_by,!scope/variable,is_owned_by = ger,checks if the current scope is owned by the specified country.,,1,state
is_claimed_by,!scope/variable,is_claimed_by = ger,checks if the current scope is claimed by the specified country.,,1,state
is_core_of,!scope/variable,is_core_of = ger,checks if the current scope is a core of the specified country.,,1,state
is_owned_and_controlled_by,!scope/variable,is_owned_and_controlled_by = ger,checks if the current scope is owned and controlled by the specified country.,,1,state
is_demilitarized_zone,!boolean,is_demilitarized_zone = yes,checks if the current scope is a demilitarized zone.,,1,state
is_border_conflict,!boolean,is_border_conflict = yes,checks if the current scope is part of a border war.,,1,state
is_in_home_area,!boolean,is_in_home_area = yes,checks if the current scope is connected to the capital state over land.,,1,state
is_coastal,!boolean,is_coastal = yes,checks if the current scope is a coastal state.,,1,state
is_island_state,!boolean,is_island_state = yes,checks if the current scope is a coastal state with no adjacent land states.,,1,state
is_on_continent,!string,is_on_continent = europe,checks if the current scope is on the specified continent.,continents are found in /hearts of iron iv/map/continent.txt.,1,state
has_state_category,!string,has_state_category = rural,checks if the current scope has the specified category.,state categories are found in /hearts of iron iv/common/state_category/*.txt.,1,state
state_strategic_value,!%int,state_strategic_value > 10,checks if the current scope has the specified strategic value.,must use either > or < operators.,1.5,state
state_and_terrain_strategic_value,!%int,state_and_terrain_strategic_value > 10,checks if the current scope has the specified state and terrain strategic value.,must use either > or < operators.,1.5,state
free_building_slots,!string.building !%int.size !bool.include_locked,free_building_slots = {     building = arms_factory     size > 10     include_locked = yes } ,checks if the current scope has available slots for the specified amount of buildings.,must use either > or < operators for size.,1,state
any_province_building_level,!string.building !%int.level >province = !int.id !boolean.limit_to_border,any_province_building_level = {     province = {         id = 445         id = 494         limit_to_border = yes     }     building = bunker     level < 5 } ,checks if the current scope has the specified provincal building at the specified amount in the specified provinces.,must use either > or < operators for level.,1,state
num_owned_neighbour_states,!scope.owner !int.count,num_owned_neighbour_states = {     owner = ger     count = 2 } ,checks if the current scope has the specified amount of neighbor states belonging to the specified country.,must use either > or < operators for count.,1,state
has_claimed_state_in_peace_conference,!scope/variable,has_claimed_state_in_peace_conference = ger,checks if the current scope has been claimed by the specified country in a peace conference.,,1,state
